"","Parents_education_year","mean_math","mean_reading","mean_science","mean_wealth","mean_entertainment","mean_possessions","n"
"1","(2,3]",401.864249536694,407.612525815728,409.488648978873,0.249574530516432,1.03183210093897,0.14531396713615,3408
"2","(3,4]",385.311703852021,389.611019710145,394.397236521739,1.04927536231884,1.43108550724638,0.949275362318841,69
"3","(4,5]",439.397240416157,458.131964822898,458.462452178891,0.817706618962433,1.60930307692308,0.863073345259392,2795
"4","(5,7]",421.870673593758,428.484919659492,425.789636926866,0.518164685726523,1.26201260306243,0.438331727165649,9339
"5","(7,8]",451.472420740916,459.552817587307,465.089756175285,1.53807924781733,1.89290240933512,1.51070936870383,11912
"6","(8,9]",451.708825328379,452.992449907257,450.681924951533,0.880400838354729,1.56448417605449,0.796162955200419,19085
"7","(9,10]",452.925033231793,457.429730111165,463.349624862252,1.79275978733688,1.74685289995167,1.62768970517158,4138
"8","(10,11]",491.456831530825,486.699514238415,495.266438577267,1.48612731176837,2.05199742328739,1.54928586271386,14437
"9","(11,12]",480.936848460016,485.491192742886,489.618171707067,1.72784514049967,1.90941087522354,1.68124617100767,56477
"10","(12,13]",508.284700565046,504.604935814208,510.826092172678,1.93485428051002,2.05883161020036,2.01006375227687,27450
"11","(13,14]",484.773749235378,489.907875538137,488.488064298611,1.66862208768042,1.91047977728526,1.72285312719606,18499
"12","(14,15]",509.019366053461,509.851770669934,516.478929123834,2.03069953216002,2.06042439133064,2.09897043378632,31421
"13","(15,16]",513.303699490292,511.068592302029,514.850089643376,1.90106461307288,1.95006710493363,2.04918858001503,39930
"14","(16,17]",518.904989021753,520.379823044517,526.706497609145,2.22931413851397,2.11352538438833,2.38981082459012,37267
"15","(17,18]",540.515753786659,521.93453,530.377413192721,2.23290046870692,2.04190438378825,2.44053901295837,7254
