"","PARED_cut1","mean_math","mean_science","mean_reading","mean_wealth","n"
"1","(2,3]",379.929228164969,391.556595399224,389.235077675538,-1.80313895947573,7477
"2","(3,4]",352.338106226395,369.972427795139,373.670024797454,-1.683046875,3456
"3","(4,5]",441.141786414631,461.531098468491,456.830616585488,-1.37132312327391,3983
"4","(5,7]",400.435207214388,408.016138946855,410.978404695271,-1.65571672354949,16408
"5","(7,8]",430.740094721519,444.467768088454,440.401358229683,-0.668851585728444,16144
"6","(8,9]",438.989400669785,441.666262296593,442.814291985856,-1.21049753553825,27998
"7","(9,10]",431.476857241426,441.731897234171,436.444796201151,-0.535678582247804,6602
"8","(10,11]",445.535731785778,454.699368633343,451.787202938571,-0.768937167749557,27088
"9","(11,12]",465.937159800197,475.225909290011,471.5900137214,-0.290552084184955,85621
"10","(12,13]",487.296380531723,491.197023915013,483.935755824642,-0.277615227349189,38641
"11","(13,14]",474.537118182384,478.882656169058,477.717115025979,-0.43648158200853,25790
"12","(14,15]",489.002168327537,496.741891577106,490.068059510201,-0.0325386218011714,50878
"13","(15,16]",484.302366294287,490.482744792675,486.74631736989,0.0548500877146351,75244
"14","(16,17]",512.209372153488,519.376068084992,514.090573258572,0.236238486165513,55911
"15","(17,18]",525.686072088812,519.64628365479,511.658127480265,0.145997439726904,9374
