Date,Pageviews,Clicks,Enrollments,Payments,Click-through-probability,Gross conversion,Retention,Net conversion,,,,
"Sat, Oct 11",7723,687,134,70,0.088955069,0.195050946,0.52238806,0.101892285,,133.9999999,,
"Sun, Oct 12",9102,779,147,70,0.085585586,0.188703466,0.476190476,0.089858793,,147,,
"Mon, Oct 13",10511,909,167,95,0.08648083,0.183718372,0.568862275,0.104510451,,167.0000001,,
"Tue, Oct 14",9871,836,156,105,0.084692534,0.186602871,0.673076923,0.125598086,,156.0000002,,
"Wed, Oct 15",10014,837,163,64,0.083582984,0.19474313,0.392638037,0.07646356,,162.9999998,,
"Thu, Oct 16",9670,823,138,82,0.085108583,0.167679222,0.594202899,0.09963548,,137.9999997,,
"Fri, Oct 17",9008,748,146,76,0.0830373,0.195187166,0.520547945,0.101604278,,146.0000002,,
"Sat, Oct 18",7434,632,110,70,0.085014797,0.174050633,0.636363636,0.110759494,,110.0000001,,
"Sun, Oct 19",8459,691,131,60,0.081688143,0.189580318,0.458015267,0.08683068,,130.9999997,,
"Mon, Oct 20",10667,861,165,97,0.080716228,0.191637631,0.587878788,0.112659698,,165.0000003,,
"Tue, Oct 21",10660,867,196,105,0.081332083,0.226066897,0.535714286,0.121107266,,195.9999997,,
"Wed, Oct 22",9947,838,162,92,0.084246506,0.193317422,0.567901235,0.109785203,,161.9999996,,
"Thu, Oct 23",8324,665,127,56,0.079889476,0.190977444,0.440944882,0.084210526,,127.0000003,,
"Fri, Oct 24",9434,673,220,122,0.071337715,0.326894502,0.554545455,0.18127786,,219.9999998,,
"Sat, Oct 25",8687,691,176,128,0.079544146,0.254703329,0.727272727,0.185238784,,176.0000003,,
"Sun, Oct 26",8896,708,161,104,0.079586331,0.22740113,0.645962733,0.146892655,,161,,
"Mon, Oct 27",9535,759,233,124,0.079601468,0.306982872,0.532188841,0.163372859,,232.9999998,,
"Tue, Oct 28",9363,736,154,91,0.078607284,0.20923913,0.590909091,0.123641304,,153.9999997,,
"Wed, Oct 29",9327,739,196,86,0.079232336,0.265223275,0.43877551,0.116373478,,196.0000002,,
"Thu, Oct 30",9345,734,167,75,0.078544676,0.227520436,0.449101796,0.102179837,,167,,
"Fri, Oct 31",8890,706,174,101,0.079415073,0.246458924,0.58045977,0.14305949,,174.0000003,,
"Sat, Nov 1",8460,681,156,93,0.080496454,0.22907489,0.596153846,0.136563877,,156.0000001,,
"Sun, Nov 2",8836,693,206,67,0.078429153,0.297258297,0.325242718,0.096681097,,205.9999998,,
"Mon, Nov 3",9437,788,,,,,,,,3785,17293,0.218874689
"Tue, Nov 4",9420,781,,,,,,,,,,
"Wed, Nov 5",9570,805,,,,,,,,,,
"Thu, Nov 6",9921,830,,,,,,,,,,
"Fri, Nov 7",9424,781,,,,,,,,,,
"Sat, Nov 8",9010,756,,,,,,,,,,
"Sun, Nov 9",9656,825,,,,,,,,,,
"Mon, Nov 10",10419,874,,,,,,,,,,
"Tue, Nov 11",9880,830,,,,,,,,,,
"Wed, Nov 12",10134,801,,,,,,,,,,
"Thu, Nov 13",9717,814,,,,,,,,,,
"Fri, Nov 14",9192,735,,,,,,,,,,
"Sat, Nov 15",8630,743,,,,,,,,,,
"Sun, Nov 16",8970,722,,,,,,,,,,
sum,345543,28378,,average,0.082125814,,,,,,,
